url,URLCategory
101hotelscdn.ru,"['newly-registered-domain', 'parked']"
163.com,"['home-and-garden', 'internet-portals', 'music', 'web-based-email']"
1spbgmu.ru,"['educational-institutions', 'web-based-email']"
2a2i.org,"['health-and-medicine', 'religion', 'web-based-email']"
2gis.ru,"['reference-and-research', 'web-based-email']"
360.cn,"['internet-communications-and-telephony', 'internet-portals']"
451.io,"['online-storage-and-backup', 'training-and-tools']"
49gov.ru,"['government', 'web-based-email']"
4dex.io,"['business-and-economy', 'content-delivery-networks']"
a0z.ru,"['internet-communications-and-telephony', 'online-storage-and-backup', 'personal-sites-and-blogs']"
a101.ru,"['real-estate', 'web-based-email']"
abishkking.com,"['games', 'philosophy-and-political-advocacy']"
absolutelabs.app,"['newly-registered-domain', 'parked']"
academia-assets.com,"['educational-institutions', 'reference-and-research']"
activebc.ru,"['business-and-economy', 'web-based-email']"
admkrsk.ru,"['Government_custom', 'government']"
adskiller.me,"['government', 'shareware-and-freeware']"
adspend.space,"['newly-registered-domain', 'parked']"
adtng.com,"['grayware', 'social-networking']"
aeroflot.ru,"['travel', 'web-based-email']"
agoda.net,"['society', 'travel']"
ahagamecenter.com,"['games', 'streaming-media']"
aigenis.ru,"['Stock_Advice_and_Tools_custom', 'newly-registered-domain']"
akamaihd.net,"['content-delivery-networks', 'games']"
akamaized.net,"['content-delivery-networks', 'sports']"
alarmtrade.ru,"['motor-vehicles', 'web-based-email']"
aleado.ru,"['auctions', 'motor-vehicles']"
alexanderklimov.ru,"['music', 'personal-sites-and-blogs']"
alibaba.com,"['business-and-economy', 'shopping']"
amap.com,"['reference-and-research', 'travel']"
amazon.com,"['shopping', 'streaming-media']"
amazon.de,"['shopping', 'streaming-media']"
amazon.in,"['shopping', 'streaming-media']"
anketka.ru,"['business-and-economy', 'web-based-email']"
antiphonalglobal.com,"['games', 'religion']"
aol.com,"['internet-portals', 'web-based-email']"
appier.net,"['internet-portals', 'travel']"
apple.com,"['content-delivery-networks', 'internet-communications-and-telephony', 'music', 'reference-and-research', 'streaming-media']"
appmifile.com,"['content-delivery-networks', 'shareware-and-freeware']"
archive.org,"['Business_and_Economy_custom', 'CDN_custom', 'Educational_Institutions_custom', 'Financial_Services_custom', 'Government_custom', 'Insufficient_Content_custom', 'Internet_Portals_custom', 'Internet_info_custom', 'Personal_Sites_and_Blogs_custom', 'WebMail', 'adult', 'business-and-economy', 'content-delivery-networks', 'educational-institutions', 'entertainment-and-arts', 'gambling', 'games', 'government', 'grayware', 'health-and-medicine', 'home-and-garden', 'internet-communications-and-telephony', 'internet-portals', 'legal', 'motor-vehicles', 'music', 'newly-registered-domain', 'news', 'online-storage-and-backup', 'parked', 'personal-sites-and-blogs', 'philosophy-and-political-advocacy', 'real-estate', 'reference-and-research', 'religion', 'search-engines', 'shareware-and-freeware', 'shopping', 'social-networking', 'society', 'sports', 'stock-advice-and-tools', 'streaming-media', 'training-and-tools', 'translation', 'travel', 'weapons', 'web-hosting']"
armgs.team,"['internet-communications-and-telephony', 'personal-sites-and-blogs', 'society']"
artlebedev.ru,"['personal-sites-and-blogs', 'search-engines', 'shopping']"
arzamas.academy,"['entertainment-and-arts', 'news']"
astrakhan.ru,"['internet-portals', 'online-storage-and-backup']"
atctrade.ru,"['auctions', 'government']"
attachmail.ru,"['WebMail', 'web-based-email']"
audioaddict.com,"['health-and-medicine', 'streaming-media']"
autoimg.cn,"['content-delivery-networks', 'motor-vehicles']"
autonavi.com,"['reference-and-research', 'travel']"
autorus.ru,"['Shopping_custom', 'motor-vehicles']"
azureedge.net,"['content-delivery-networks', 'phishing']"
backblazeb2.com,"['online-storage-and-backup', 'phishing']"
baidu.com,"['online-storage-and-backup', 'reference-and-research', 'search-engines', 'translation']"
bdimg.com,"['content-delivery-networks', 'reference-and-research', 'search-engines']"
best-novostroy.ru,"['real-estate', 'web-based-email']"
besteml.com,"['Insufficient_Content_custom', 'personal-sites-and-blogs']"
bgu.ru,"['educational-institutions', 'web-based-email']"
bidease.com,"['auctions', 'business-and-economy']"
binchecker.pro,"['newly-registered-domain', 'web-hosting']"
bing.com,"['content-delivery-networks', 'internet-portals', 'reference-and-research', 'search-engines', 'translation']"
bing.net,"['adult', 'search-engines']"
bitbanker.org,"['newly-registered-domain', 'parked']"
bizmrg.com,"['online-storage-and-backup', 'web-based-email']"
blockchain.com,"['cryptocurrency', 'stock-advice-and-tools']"
bluebay.ru,"['Internet_info_custom', 'Real_Estate_custom']"
blz-contentstack.com,"['content-delivery-networks', 'music']"
bmstu.ru,"['educational-institutions', 'web-based-email']"
books555.com,"['news', 'religion']"
borda.ru,"['alcohol-and-tobacco', 'travel']"
bork.ru,"['business-and-economy', 'shopping']"
bp.blogspot.com,"['content-delivery-networks', 'personal-sites-and-blogs']"
brightcovecdn.com,"['adult', 'content-delivery-networks']"
broskokitchenplanner.com,"['music', 'phishing']"
business-car.ru,"['motor-vehicles', 'web-based-email']"
business-online.ru,"['content-delivery-networks', 'news']"
bytebytego.com,"['newly-registered-domain', 'parked']"
bytegecko-i18n.com,"['business-and-economy', 'newly-registered-domain']"
byteoversea.com,"['business-and-economy', 'entertainment-and-arts', 'games', 'music', 'personal-sites-and-blogs', 'social-networking', 'society']"
c-ctrip.com,"['content-delivery-networks', 'travel']"
cambridge.org,"['educational-institutions', 'reference-and-research']"
candy-home.ru,"['Internet_info_custom', 'parked']"
cap.ru,"['government', 'health-and-medicine']"
carcraft.ru,"['Financial_Services_custom', 'parked']"
cartocdn.com,"['business-and-economy', 'content-delivery-networks']"
carx-online.com,"['Internet_info_custom', 'games']"
cbsaavideo.com,"['entertainment-and-arts', 'streaming-media']"
cbsd.ru,"['educational-institutions', 'web-based-email']"
cdek.ru,"['business-and-economy', 'web-based-email']"
cdn-cian.ru,"['Business_and_Economy_custom', 'CDN_custom']"
cdnbb8.com,"['CDN_custom', 'proxy-avoidance-and-anonymizers']"
channelexco.com,"['content-delivery-networks', 'entertainment-and-arts']"
chargebeestaticv2.com,"['adult', 'online-storage-and-backup']"
chatra.io,"['internet-communications-and-telephony', 'online-storage-and-backup']"
classdojo.com,"['educational-institutions', 'training-and-tools']"
classistatic.de,"['content-delivery-networks', 'motor-vehicles']"
cnbc.com,"['news', 'stock-advice-and-tools']"
cnn.com,"['news', 'stock-advice-and-tools']"
coe.int,"['government', 'philosophy-and-political-advocacy']"
com.bd,"['search-engines', 'translation']"
com.kh,"['phishing', 'reference-and-research', 'search-engines']"
com.mm,"['WebMail', 'search-engines', 'translation']"
com.np,"['search-engines', 'translation']"
cometchat.io,"['government', 'internet-communications-and-telephony']"
cons.ru,"['Internet_info_custom', 'Legal_custom']"
contentai.ru,"['Business_and_Economy_custom', 'CDN_custom', 'Storage_and_Backup_custom']"
convead.io,"['government', 'internet-communications-and-telephony']"
convers.link,"['internet-communications-and-telephony', 'online-storage-and-backup']"
conviva.com,"['business-and-economy', 'streaming-media']"
core-xp.ru,"['Internet_info_custom', 'Real_Estate_custom']"
ctnsnet.com,"['content-delivery-networks', 'educational-institutions']"
cultreg.ru,"['government', 'travel']"
d-cd.net,"['business-and-economy', 'content-delivery-networks']"
dasreda.ru,"['Business_and_Economy_custom', 'business-and-economy']"
daytimenews.ru,"['newly-registered-domain', 'parked']"
ddxfitness.ru,"['sports', 'web-based-email']"
deeper.eu,"['home-and-garden', 'hunting-and-fishing']"
detmir.st,"['content-delivery-networks', 'shopping']"
devpravo.tech,"['newly-registered-domain', 'parked']"
digitalcombatsimulator.com,"['Games_custom', 'Internet_info_custom', 'games']"
digitaloceanspaces.com,"['content-delivery-networks', 'government']"
dnevnik.ru,"['educational-institutions', 'entertainment-and-arts']"
dobro.ru,"['educational-institutions', 'government']"
docworkspace.com,"['games', 'online-storage-and-backup']"
domru.ru,"['business-and-economy', 'web-based-email']"
donland.ru,"['government', 'web-based-email']"
douban.com,"['online-storage-and-backup', 'social-networking']"
douyin.com,"['search-engines', 'social-networking']"
dvinaland.ru,"['government', 'web-based-email']"
dzcdn.net,"['personal-sites-and-blogs', 'streaming-media']"
dzeninfra.ru,"['Insufficient_Content_custom', 'Internet_Portals_custom', 'Streaming_Media_custom']"
eapteka.ru,"['health-and-medicine', 'web-based-email']"
easebar.com,"['entertainment-and-arts', 'search-engines']"
ebaystatic.com,"['auctions', 'content-delivery-networks']"
edvibe.com,"['Internet_info_custom', 'philosophy-and-political-advocacy']"
efir-net.ru,"['business-and-economy', 'news']"
elementy.ru,"['reference-and-research', 'web-based-email']"
endel.io,"['Internet_info_custom', 'music']"
estp.ru,"['government', 'web-based-email']"
etpu.ru,"['Shopping_custom', 'government']"
etu.ru,"['educational-institutions', 'phishing', 'web-based-email']"
